PERMNO,date,TICKER,RET,vwretd
14593,2018-12-18,AAPL,0.012993,-0.000164
14593,2018-12-19,AAPL,-0.031192,-0.014833
14593,2018-12-20,AAPL,-0.025235,-0.015372
14593,2018-12-21,AAPL,-0.038896,-0.020591
14593,2018-12-24,AAPL,-0.025874,-0.024166
14593,2018-12-26,AAPL,0.070422,0.046860
14593,2018-12-27,AAPL,-0.006490,0.006822
14593,2018-12-28,AAPL,0.000512,0.000154
14593,2018-12-31,AAPL,0.009665,0.008318
14593,2019-01-02,AAPL,0.001141,0.001796
14593,2019-01-03,AAPL,-0.099607,-0.021043
14593,2019-01-04,AAPL,0.042689,0.033410
14593,2019-01-07,AAPL,-0.002226,0.009202
14593,2019-01-08,AAPL,0.019063,0.010269
14593,2019-01-09,AAPL,0.016982,0.006199
14593,2019-01-10,AAPL,0.003196,0.004474
14593,2019-01-11,AAPL,-0.009818,-0.000152
14593,2019-01-14,AAPL,-0.015037,-0.005465
14593,2019-01-15,AAPL,0.020467,0.009839
14593,2019-01-16,AAPL,0.012217,0.003177
14593,2019-01-17,AAPL,0.005938,0.007082
14593,2019-01-18,AAPL,0.006159,0.012032
14593,2019-01-22,AAPL,-0.022446,-0.014150
14593,2019-01-23,AAPL,0.004044,0.001313
14593,2019-01-24,AAPL,-0.007926,0.002789
14593,2019-01-25,AAPL,0.033137,0.009553
14593,2019-01-28,AAPL,-0.009255,-0.006493
14593,2019-01-29,AAPL,-0.010365,-0.000918
14593,2019-01-30,AAPL,0.068335,0.014357
14593,2019-01-31,AAPL,0.007201,0.008467
14593,2019-02-01,AAPL,0.000481,0.001418
14593,2019-02-04,AAPL,0.028405,0.006692
14593,2019-02-05,AAPL,0.017109,0.004392
14593,2019-02-06,AAPL,0.000345,-0.002529
14593,2019-02-07,AAPL,-0.018939,-0.008815
14593,2019-02-08,AAPL,0.001170,0.000651
14593,2019-02-11,AAPL,-0.005751,0.001262
14593,2019-02-12,AAPL,0.008617,0.012367
14593,2019-02-13,AAPL,-0.004155,0.002782
14593,2019-02-14,AAPL,0.003643,-0.001423
14593,2019-02-15,AAPL,-0.002225,0.010835
14593,2019-02-19,AAPL,0.002993,0.002351
14593,2019-02-20,AAPL,0.006435,0.002105
14593,2019-02-21,AAPL,-0.005639,-0.003534
14593,2019-02-22,AAPL,0.011166,0.006367
14593,2019-02-25,AAPL,0.007284,0.001355
14593,2019-02-26,AAPL,0.000574,-0.001496
14593,2019-02-27,AAPL,0.003098,0.000503
14593,2019-02-28,AAPL,-0.009836,-0.002832
14593,2019-03-01,AAPL,0.010511,0.006074
14593,2019-03-04,AAPL,0.005029,-0.004235
14593,2019-03-05,AAPL,-0.001820,-0.001320
14593,2019-03-06,AAPL,-0.005754,-0.007768
14593,2019-03-07,AAPL,-0.011575,-0.007494
14593,2019-03-08,AAPL,0.002377,-0.001900
14593,2019-03-11,AAPL,0.034642,0.014348
14593,2019-03-12,AAPL,0.011235,0.002743
14593,2019-03-13,AAPL,0.004422,0.006419
14593,2019-03-14,AAPL,0.011117,-0.000989
14593,2019-03-15,AAPL,0.013008,0.004549
14593,2019-03-18,AAPL,0.010209,0.004449
14593,2019-03-19,AAPL,-0.007925,-0.000676
14593,2019-03-20,AAPL,0.008739,-0.003146
14593,2019-03-21,AAPL,0.036830,0.010294
14593,2019-03-22,AAPL,-0.020708,-0.020352
14593,2019-03-25,AAPL,-0.012091,-0.000328
14593,2019-03-26,AAPL,-0.010332,0.007719
14593,2019-03-27,AAPL,0.008994,-0.004686
14593,2019-03-28,AAPL,0.001326,0.004111
14593,2019-03-29,AAPL,0.006518,0.006019
14593,2019-04-01,AAPL,0.006791,0.011239
14593,2019-04-02,AAPL,0.014537,-0.000146
14593,2019-04-03,AAPL,0.006855,0.002548
14593,2019-04-04,AAPL,0.001740,0.001939
14593,2019-04-05,AAPL,0.006694,0.005114
14593,2019-04-08,AAPL,0.015736,0.001042
14593,2019-04-09,AAPL,-0.002999,-0.006282
14593,2019-04-10,AAPL,0.005614,0.004781
14593,2019-04-11,AAPL,-0.008324,-0.000123
14593,2019-04-12,AAPL,-0.000402,0.006427
14593,2019-04-15,AAPL,0.001810,-0.001019
14593,2019-04-16,AAPL,0.000100,0.000713
14593,2019-04-17,AAPL,0.019473,-0.003057
14593,2019-04-18,AAPL,0.003594,0.001078
14593,2019-04-22,AAPL,0.003287,0.000550
14593,2019-04-23,AAPL,0.014423,0.008919
14593,2019-04-24,AAPL,-0.001542,-0.002067
14593,2019-04-25,AAPL,-0.009075,-0.001464
14593,2019-04-26,AAPL,-0.004774,0.005368
14593,2019-04-29,AAPL,0.001517,0.001457
14593,2019-04-30,AAPL,-0.019256,0.000358
14593,2019-05-01,AAPL,0.049086,-0.007552
14593,2019-05-02,AAPL,-0.006508,-0.001670
14593,2019-05-03,AAPL,0.012431,0.010903
14593,2019-05-06,AAPL,-0.015443,-0.003819
14593,2019-05-07,AAPL,-0.026957,-0.016138
14593,2019-05-08,AAPL,0.000197,-0.001604
14593,2019-05-09,AAPL,-0.010744,-0.002762
14593,2019-05-10,AAPL,-0.013800,0.004061
14593,2019-05-13,AAPL,-0.058119,-0.024490
14593,2019-05-14,AAPL,0.015830,0.008972
14593,2019-05-15,AAPL,0.011979,0.005735
14593,2019-05-16,AAPL,-0.004400,0.008466
14593,2019-05-17,AAPL,-0.005682,-0.006777
14593,2019-05-20,AAPL,-0.031270,-0.006482
14593,2019-05-21,AAPL,0.019171,0.008936
14593,2019-05-22,AAPL,-0.020472,-0.003791
14593,2019-05-23,AAPL,-0.017070,-0.012685
14593,2019-05-24,AAPL,-0.003841,0.002769
14593,2019-05-28,AAPL,-0.004135,-0.007504
14593,2019-05-29,AAPL,-0.004769,-0.006890
14593,2019-05-30,AAPL,0.005187,0.001395
14593,2019-05-31,AAPL,-0.018116,-0.011731
14593,2019-06-03,AAPL,-0.010110,-0.002132
14593,2019-06-04,AAPL,0.036584,0.020888
14593,2019-06-05,AAPL,0.016143,0.006480
14593,2019-06-06,AAPL,0.014682,0.005135
14593,2019-06-07,AAPL,0.026617,0.009671
14593,2019-06-10,AAPL,0.012779,0.004786
14593,2019-06-11,AAPL,0.011580,-0.000587
14593,2019-06-12,AAPL,-0.003183,-0.001895
14593,2019-06-13,AAPL,-0.000206,0.004882
14593,2019-06-14,AAPL,-0.007262,-0.002723
14593,2019-06-17,AAPL,0.005967,0.001583
14593,2019-06-18,AAPL,0.023518,0.009988
14593,2019-06-19,AAPL,-0.002923,0.003742
14593,2019-06-20,AAPL,0.008036,0.008794
14593,2019-06-21,AAPL,-0.003409,-0.002480
14593,2019-06-24,AAPL,-0.001006,-0.002898
14593,2019-06-25,AAPL,-0.015158,-0.008983
14593,2019-06-26,AAPL,0.021629,-0.001030
14593,2019-06-27,AAPL,-0.000300,0.005851
14593,2019-06-28,AAPL,-0.009112,0.006661
14593,2019-07-01,AAPL,0.018341,0.006666
14593,2019-07-02,AAPL,0.005855,0.002012
14593,2019-07-03,AAPL,0.008287,0.007696
14593,2019-07-05,AAPL,-0.000881,-0.001125
14593,2019-07-08,AAPL,-0.020614,-0.005365
14593,2019-07-09,AAPL,0.006099,0.001762
14593,2019-07-10,AAPL,0.009889,0.004054
14593,2019-07-11,AAPL,-0.007282,0.001232
14593,2019-07-12,AAPL,0.007683,0.004673
14593,2019-07-15,AAPL,0.009395,-0.000159
14593,2019-07-16,AAPL,-0.003460,-0.002952
14593,2019-07-17,AAPL,-0.005623,-0.005594
14593,2019-07-18,AAPL,0.011360,0.003364
14593,2019-07-19,AAPL,-0.014928,-0.005612
14593,2019-07-22,AAPL,0.022854,0.002286
14593,2019-07-23,AAPL,0.007818,0.006250
14593,2019-07-24,AAPL,-0.000814,0.006008
14593,2019-07-25,AAPL,-0.007907,-0.006384
14593,2019-07-26,AAPL,0.003478,0.007304
14593,2019-07-29,AAPL,0.009339,-0.002677
14593,2019-07-30,AAPL,-0.004292,-0.001279
14593,2019-07-31,AAPL,0.020404,-0.009979
14593,2019-08-01,AAPL,-0.021639,-0.009219
14593,2019-08-02,AAPL,-0.021158,-0.007805
14593,2019-08-05,AAPL,-0.052348,-0.028423
14593,2019-08-06,AAPL,0.018930,0.011900
14593,2019-08-07,AAPL,0.010355,0.001289
14593,2019-08-08,AAPL,0.022056,0.018530
14593,2019-08-09,AAPL,-0.008209,-0.007192
14593,2019-08-12,AAPL,-0.002537,-0.012019
14593,2019-08-13,AAPL,0.042348,0.013317
14593,2019-08-14,AAPL,-0.029765,-0.027826
14593,2019-08-15,AAPL,-0.004981,0.001777
14593,2019-08-16,AAPL,0.023595,0.014891
14593,2019-08-19,AAPL,0.018644,0.010675
14593,2019-08-20,AAPL,0.000048,-0.006749
14593,2019-08-21,AAPL,0.010839,0.007927
14593,2019-08-22,AAPL,-0.000846,-0.001010
14593,2019-08-23,AAPL,-0.046220,-0.024254
14593,2019-08-26,AAPL,0.018999,0.009977
14593,2019-08-27,AAPL,-0.011284,-0.003859
14593,2019-08-28,AAPL,0.006710,0.006323
14593,2019-08-29,AAPL,0.016932,0.012551
14593,2019-08-30,AAPL,-0.001292,0.000647
14593,2019-09-03,AAPL,-0.014564,-0.007200
