PERMNO,date,vwretd
21723,2022-11-17,-0.004122
21723,2022-11-18,0.004185
21723,2022-11-21,-0.004588
21723,2022-11-22,0.013241
21723,2022-11-23,0.005918
21723,2022-11-25,0.000406
21723,2022-11-28,-0.015647
21723,2022-11-29,-0.000744
21723,2022-11-30,0.029413
21723,2022-12-01,0.000229
21723,2022-12-02,-0.000581
